areaCode,areaName,areaType,date,newAdmissions
E40000003,London,nhsRegion,2020-09-18,41
E40000003,London,nhsRegion,2020-09-17,28
E40000003,London,nhsRegion,2020-09-16,25
E40000003,London,nhsRegion,2020-09-15,26
E40000003,London,nhsRegion,2020-09-14,31
E40000003,London,nhsRegion,2020-09-13,23
E40000003,London,nhsRegion,2020-09-12,19
E40000003,London,nhsRegion,2020-09-11,13
E40000003,London,nhsRegion,2020-09-10,19
E40000003,London,nhsRegion,2020-09-09,17
E40000003,London,nhsRegion,2020-09-08,11
E40000003,London,nhsRegion,2020-09-07,5
E40000003,London,nhsRegion,2020-09-06,12
E40000003,London,nhsRegion,2020-09-05,23
E40000003,London,nhsRegion,2020-09-04,11
E40000003,London,nhsRegion,2020-09-03,15
E40000003,London,nhsRegion,2020-09-02,11
E40000003,London,nhsRegion,2020-09-01,6
E40000003,London,nhsRegion,2020-08-31,6
E40000003,London,nhsRegion,2020-08-30,6
E40000003,London,nhsRegion,2020-08-29,6
E40000003,London,nhsRegion,2020-08-28,11
E40000003,London,nhsRegion,2020-08-27,5
E40000003,London,nhsRegion,2020-08-26,5
E40000003,London,nhsRegion,2020-08-25,9
E40000003,London,nhsRegion,2020-08-24,6
E40000003,London,nhsRegion,2020-08-23,8
E40000003,London,nhsRegion,2020-08-22,3
E40000003,London,nhsRegion,2020-08-21,5
E40000003,London,nhsRegion,2020-08-20,6
E40000003,London,nhsRegion,2020-08-19,7
E40000003,London,nhsRegion,2020-08-18,6
E40000003,London,nhsRegion,2020-08-17,2
E40000003,London,nhsRegion,2020-08-16,7
E40000003,London,nhsRegion,2020-08-15,4
E40000003,London,nhsRegion,2020-08-14,8
E40000003,London,nhsRegion,2020-08-13,9
E40000003,London,nhsRegion,2020-08-12,5
E40000003,London,nhsRegion,2020-08-11,18
E40000003,London,nhsRegion,2020-08-10,9
E40000003,London,nhsRegion,2020-08-09,10
E40000003,London,nhsRegion,2020-08-08,2
E40000003,London,nhsRegion,2020-08-07,7
E40000003,London,nhsRegion,2020-08-06,7
E40000003,London,nhsRegion,2020-08-05,12
E40000003,London,nhsRegion,2020-08-04,5
E40000003,London,nhsRegion,2020-08-03,2
E40000003,London,nhsRegion,2020-08-02,10
E40000003,London,nhsRegion,2020-08-01,5
E40000003,London,nhsRegion,2020-07-31,2
E40000003,London,nhsRegion,2020-07-30,5
E40000003,London,nhsRegion,2020-07-29,11
E40000003,London,nhsRegion,2020-07-28,7
E40000003,London,nhsRegion,2020-07-27,10
E40000003,London,nhsRegion,2020-07-26,9
E40000003,London,nhsRegion,2020-07-25,5
E40000003,London,nhsRegion,2020-07-24,15
E40000003,London,nhsRegion,2020-07-23,14
E40000003,London,nhsRegion,2020-07-22,11
E40000003,London,nhsRegion,2020-07-21,11
E40000003,London,nhsRegion,2020-07-20,14
E40000003,London,nhsRegion,2020-07-19,7
E40000003,London,nhsRegion,2020-07-18,5
E40000003,London,nhsRegion,2020-07-17,18
E40000003,London,nhsRegion,2020-07-16,24
E40000003,London,nhsRegion,2020-07-15,22
E40000003,London,nhsRegion,2020-07-14,19
E40000003,London,nhsRegion,2020-07-13,18
E40000003,London,nhsRegion,2020-07-12,16
E40000003,London,nhsRegion,2020-07-11,17
E40000003,London,nhsRegion,2020-07-10,26
E40000003,London,nhsRegion,2020-07-09,27
E40000003,London,nhsRegion,2020-07-08,30
E40000003,London,nhsRegion,2020-07-07,26
E40000003,London,nhsRegion,2020-07-06,30
E40000003,London,nhsRegion,2020-07-05,23
E40000003,London,nhsRegion,2020-07-04,16
E40000003,London,nhsRegion,2020-07-03,20
E40000003,London,nhsRegion,2020-07-02,27
E40000003,London,nhsRegion,2020-07-01,53
E40000003,London,nhsRegion,2020-06-30,28
E40000003,London,nhsRegion,2020-06-29,20
E40000003,London,nhsRegion,2020-06-28,18
E40000003,London,nhsRegion,2020-06-27,29
E40000003,London,nhsRegion,2020-06-26,39
E40000003,London,nhsRegion,2020-06-25,47
E40000003,London,nhsRegion,2020-06-24,51
E40000003,London,nhsRegion,2020-06-23,69
E40000003,London,nhsRegion,2020-06-22,60
E40000003,London,nhsRegion,2020-06-21,25
E40000003,London,nhsRegion,2020-06-20,19
E40000003,London,nhsRegion,2020-06-19,47
E40000003,London,nhsRegion,2020-06-18,50
E40000003,London,nhsRegion,2020-06-17,56
E40000003,London,nhsRegion,2020-06-16,56
E40000003,London,nhsRegion,2020-06-15,49
E40000003,London,nhsRegion,2020-06-14,22
E40000003,London,nhsRegion,2020-06-13,20
E40000003,London,nhsRegion,2020-06-12,30
E40000003,London,nhsRegion,2020-06-11,32
E40000003,London,nhsRegion,2020-06-10,41
E40000003,London,nhsRegion,2020-06-09,35
E40000003,London,nhsRegion,2020-06-08,69
E40000003,London,nhsRegion,2020-06-07,56
E40000003,London,nhsRegion,2020-06-06,46
E40000003,London,nhsRegion,2020-06-05,50
E40000003,London,nhsRegion,2020-06-04,58
E40000003,London,nhsRegion,2020-06-03,68
E40000003,London,nhsRegion,2020-06-02,51
E40000003,London,nhsRegion,2020-06-01,48
E40000003,London,nhsRegion,2020-05-31,42
E40000003,London,nhsRegion,2020-05-30,30
E40000003,London,nhsRegion,2020-05-29,51
E40000003,London,nhsRegion,2020-05-28,57
E40000003,London,nhsRegion,2020-05-27,69
E40000003,London,nhsRegion,2020-05-26,67
E40000003,London,nhsRegion,2020-05-25,49
