ISO_code,country,year,HFI 2018,GDP-PPP-PC 2018,POP 2018,GDP-GROWTH,GDP-GROWTH-2008,DI
COD,"Congo, Dem. Rep.",2008,5.33,839.82,84068092,,,1.49
COD,"Congo, Dem. Rep.",2010,5.52,865.6840402,84068092,,,1.49
COD,"Congo, Dem. Rep.",2012,4.74,926.7878162,84068092,,,1.49
COD,"Congo, Dem. Rep.",2014,5.09,1029.790813,84068092,,,1.49
COD,"Congo, Dem. Rep.",2016,5.42,1055.572915,84068092,,,1.49
COD,"Congo, Dem. Rep.",2018,5.29,1085.89,84068092,5.8211211,6.225894269,1.49
COG,"Congo, Rep.",2008,5.56,4490.5,5244363,,,3.31
COG,"Congo, Rep.",2010,5.65,5172.760902,5244363,,,3.31
COG,"Congo, Rep.",2012,5.34,5508.011333,5244363,,,3.31
COG,"Congo, Rep.",2014,5.76,5556.70481,5244363,,,3.31
COG,"Congo, Rep.",2016,5.34,4551.370451,5244363,,,3.31
COG,"Congo, Rep.",2018,5.51,3933.43,5244363,-4.846001061,6.306375956,3.31
CRI,Costa Rica,2008,7.88,16527.44,4999443,,,8.07
CRI,Costa Rica,2010,7.61,16830.43618,4999443,,,8.07
CRI,Costa Rica,2012,7.85,17994.53623,4999443,,,8.07
CRI,Costa Rica,2014,7.91,18669.09668,4999443,,,8.07
CRI,Costa Rica,2016,7.92,19736.6653,4999443,,,8.07
CRI,Costa Rica,2018,7.84,20559.86,4999443,2.05620273,4.738174878,8.07
CIV,Cote d'Ivoire,2008,6.13,3639.89,25069226,,,6.57
CIV,Cote d'Ivoire,2010,5.77,3660.903847,25069226,,,6.57
CIV,Cote d'Ivoire,2012,6.09,3692.647643,25069226,,,6.57
CIV,Cote d'Ivoire,2014,6.42,4161.9403,25069226,,,6.57
CIV,Cote d'Ivoire,2016,6.39,4615.709257,25069226,,,6.57
CIV,Cote d'Ivoire,2018,6.51,5033.48,25069226,6.89028432,2.542841476,6.57
HRV,Croatia,2008,7.49,26460.9,4087843,,,3
HRV,Croatia,2010,7.44,24280.60269,4087843,,,3
HRV,Croatia,2012,7.66,23807.31559,4087843,,,3
HRV,Croatia,2014,7.75,23782.50246,4087843,,,3
HRV,Croatia,2016,7.82,25599.84362,4087843,,,3
HRV,Croatia,2018,7.92,27799.84,4087843,2.807609701,1.8934529,3
CYP,Cyprus,2008,8.39,40484.61,1189262,,,7.59
CYP,Cyprus,2010,8.37,38379.0904,1189262,,,7.59
CYP,Cyprus,2012,7.97,35719.3218,1189262,,,7.59
CYP,Cyprus,2014,8.03,33207.77071,1189262,,,7.59
CYP,Cyprus,2016,8.24,36523.73321,1189262,,,7.59
CYP,Cyprus,2018,8.05,39559.49,1189262,5.240747828,3.646811991,7.59
CZE,Czech Republic,2008,8.37,34580.44,10629928,,,7.69
CZE,Czech Republic,2010,8.19,33483.13759,10629928,,,7.69
CZE,Czech Republic,2012,8.25,33688.09983,10629928,,,7.69
CZE,Czech Republic,2014,8.34,34386.70491,10629928,,,7.69
CZE,Czech Republic,2016,8.42,37014.95929,10629928,,,7.69
CZE,Czech Republic,2018,8.29,39932.99,10629928,3.198656101,2.686411951,7.69
DNK,Denmark,2008,8.72,52982.53,5793636,,,9.22
DNK,Denmark,2010,8.64,50825.41229,5793636,,,9.22
DNK,Denmark,2012,8.54,51216.30941,5793636,,,9.22
DNK,Denmark,2014,8.62,52048.33549,5793636,,,9.22
DNK,Denmark,2016,8.62,54185.00848,5793636,,,9.22
DNK,Denmark,2018,8.73,56281.29,5793636,1.989537315,-0.512016745,9.22
DOM,Dominican Republic,2008,6.96,11980.84,10627147,,,6.54
DOM,Dominican Republic,2010,6.97,12782.45717,10627147,,,6.54
DOM,Dominican Republic,2012,7.01,13219.69413,10627147,,,6.54
DOM,Dominican Republic,2014,7.16,14499.63041,10627147,,,6.54
DOM,Dominican Republic,2016,7.36,16166.61153,10627147,,,6.54
DOM,Dominican Republic,2018,7.37,17711.8,10627147,6.982527585,3.209504262,6.54
ECU,Ecuador,2008,6.92,10257.4,17084359,,,6.27
ECU,Ecuador,2010,6.61,10340.9703,17084359,,,6.27
ECU,Ecuador,2012,6.65,11431.37562,17084359,,,6.27
ECU,Ecuador,2014,6.6,12078.47439,17084359,,,6.27
ECU,Ecuador,2016,7.01,11551.61597,17084359,,,6.27
ECU,Ecuador,2018,7.14,11561.75,17084359,1.289291933,6.3571306,6.27
EGY,"Egypt, Arab Rep.",2008,5.76,9763.5,98423602,,,3.36
